                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.75631,                0.35564,                0.77735,                0.86461,                0.68564,                0.79496,                0.54594,                0.81376,                0.39205,                0.79449,               0.000557,               0.000557,               0.000557
                     58,                0.74822,                0.35974,                0.77806,                0.86634,                0.74639,                0.80689,                0.54995,                0.80322,                0.38334,                0.79469,             0.00054463,             0.00054463,             0.00054463
                     59,                0.74226,                0.35671,                0.77867,                0.83516,                0.73017,                 0.7994,                0.55048,                0.80957,                0.38829,                0.79316,             0.00053225,             0.00053225,             0.00053225
                     60,                  0.747,                0.35245,                 0.7769,                0.86097,                0.70571,                0.77579,                0.54243,                0.79154,                0.38833,                0.79439,             0.00051988,             0.00051988,             0.00051988
                     61,                0.75258,                0.35671,                0.77597,                0.80852,                0.72766,                0.77856,                0.53803,                0.81428,                0.39407,                0.79345,              0.0005075,              0.0005075,              0.0005075
                     62,                0.76277,                0.35556,                 0.7789,                0.85334,                0.72319,                0.78634,                0.53392,                 0.7829,                0.37747,                0.79279,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72108,                0.34067,                0.77748,                0.89829,                0.69308,                0.79325,                0.55924,                0.77255,                0.37692,                0.79127,             0.00048275,             0.00048275,             0.00048275
                     64,                0.71861,                0.34282,                0.77608,                0.91423,                0.72771,                0.78892,                0.55656,                0.78292,                0.39202,                0.79205,             0.00047038,             0.00047038,             0.00047038
                     65,                0.73043,                 0.3446,                0.77796,                0.92466,                0.73866,                0.79938,                 0.5769,                0.75947,                0.36433,                0.79196,               0.000458,               0.000458,               0.000458
                     66,                0.73424,                0.34411,                 0.7767,                0.91042,                0.75966,                0.82776,                0.58511,                 0.7607,                 0.3718,                0.79255,             0.00044563,             0.00044563,             0.00044563
                     67,                0.71474,                0.34047,                0.77867,                0.89884,                0.71813,                0.78415,                0.55366,                0.78241,                0.38493,                0.79186,             0.00043325,             0.00043325,             0.00043325
                     68,                0.71745,                0.33998,                0.77685,                0.84963,                0.75721,                0.80185,                0.55996,                0.77816,                0.37486,                0.79282,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70808,                 0.3359,                0.77699,                0.92935,                0.74905,                0.81579,                0.56361,                0.77599,                0.36754,                 0.7919,              0.0004085,              0.0004085,              0.0004085
                     70,                0.72641,                 0.3394,                0.77798,                0.91339,                 0.7481,                0.81992,                0.57687,                0.78247,                0.37566,                0.79134,             0.00039613,             0.00039613,             0.00039613
                     71,                0.71139,                0.33407,                 0.7747,                0.84534,                0.74252,                0.80771,                0.57331,                0.79869,                0.37934,                 0.7921,             0.00038375,             0.00038375,             0.00038375
                     72,                0.69939,                0.32962,                0.77451,                0.90586,                0.76072,                0.81609,                0.57043,                0.80686,                0.37423,                0.79246,             0.00037138,             0.00037138,             0.00037138
                     73,                0.70436,                0.32946,                0.77559,                0.87723,                0.74508,                0.79244,                0.56083,                0.78347,                0.36586,                0.79087,               0.000359,               0.000359,               0.000359
                     74,                0.70854,                 0.3318,                 0.7768,                0.94068,                0.70651,                0.80629,                0.56897,                0.77037,                0.36552,                0.79087,             0.00034663,             0.00034663,             0.00034663
                     75,                0.69332,                 0.3258,                0.77553,                0.82966,                0.70852,                0.78028,                0.55906,                0.76723,                0.36153,                 0.7909,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.6696,                 0.3189,                  0.775,                0.83606,                0.72871,                0.78211,                0.56226,                0.77836,                0.35944,                0.79116,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.6926,                0.32282,                 0.7754,                0.85895,                0.72506,                0.79649,                0.56646,                0.77179,                0.36213,                 0.7907,              0.0003095,              0.0003095,              0.0003095
                     78,                0.69518,                0.32694,                0.77453,                0.90779,                0.74588,                0.80883,                0.57455,                0.77323,                0.36915,                0.79084,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67923,                0.32075,                 0.7736,                0.86993,                0.72572,                0.80733,                0.55504,                0.78058,                0.36966,                0.79103,             0.00028475,             0.00028475,             0.00028475
                     80,                0.67473,                0.31519,                0.77378,                0.89986,                0.71512,                0.79414,                0.56857,                0.76741,                0.35673,                0.79067,             0.00027237,             0.00027237,             0.00027237
                     81,                0.65073,                0.30739,                0.77427,                0.91102,                0.72922,                0.80354,                0.56335,                0.79439,                0.36292,                0.79069,                0.00026,                0.00026,                0.00026
                     82,                0.66545,                0.31585,                0.77294,                0.89087,                0.75308,                0.81814,                0.57659,                0.77252,                0.36676,                0.78948,             0.00024762,             0.00024762,             0.00024762
                     83,                0.66169,                0.31361,                0.77492,                0.88756,                0.72895,                0.80848,                0.57156,                0.77423,                0.36646,                 0.7902,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.6662,                0.31384,                0.77281,                0.85792,                0.72787,                0.80136,                0.56304,                0.77636,                0.35623,                0.79014,             0.00022288,             0.00022288,             0.00022288
